Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Sea ltd adr,SE,"",8000.0,248000.0,0.1161,0.3618,103,-38500.0,-82.795699,reduction,0.0024462,Q1 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,23.52
Teladoc health inc,TDOC,"",3500.0,237000.0,0.1109,,104,3500.0,,new,0.0048584,Q3 2019,HEALTH CARE,13F,09/30/2019,67.72
Viavi solutions inc,VIAV,"",16929.0,237000.0,0.1109,,105,16929.0,,new,0.0073560,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,14.01
Macom techno ord,MTSI,PUT,10000.0,215000.0,0.1006,,106,10000.0,,new,N/A,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,
Elastic nv,ESTC,"",2500.0,206000.0,0.0964,,107,2500.0,,new,0.0032031,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,82.34
Netflix inc,NFLX,"",750.0,201000.0,0.0941,0.1119,108,-550.0,-42.307692,reduction,0.0001713,Q3 2018,COMMUNICATIONS,13F,09/30/2019,356.56
Ambarella inc,AMBA,"",3000.0,189000.0,0.0885,0.3101,109,-27000.0,-90.0,reduction,0.0090744,Q3 2018,INFORMATION TECHNOLOGY,13F,09/30/2019,43.5565
Sunrun inc,RUN,CALL,11000.0,184000.0,0.0861,,110,11000.0,,new,N/A,Q1 2019,ENERGY,13F,09/30/2019,
Social capital hedosophia holdings corp,IPOA,"",16800.0,180000.0,0.0842,,111,16800.0,,new,0.0194783,Q3 2019,FINANCE,13F,09/30/2019,10.7
Advanced micro devices inc,AMD,"",5000.0,145000.0,0.0679,0.1778,112,-20000.0,-80.0,reduction,0.0004606,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,30.37
Lattice semconductor corp.,LSCC,"",6000.0,110000.0,0.0515,0.0855,113,-19000.0,-76.0,reduction,0.0045225,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,14.59
Snap inc class a,SNAP,"",6500.0,103000.0,0.0482,0.0335,114,-3500.0,-35.0,reduction,0.0004713,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,11.02
